Doctor ID,Name,Specialty,Years of Experience,Affiliation,Average Rating
RADIO_10,Dr. Paula Wallace,Radiologist,13,Martinfort Medical Center,4.12
RHEUM_01,Dr. Jorge Barry,Rheumatologist,15,South Jamesshire Medical Center,4.22
RHEUM_02,Dr. Emily Becker,Rheumatologist,18,Ericaburgh Medical Center,3.56
RHEUM_03,Dr. Jeff Morgan,Rheumatologist,33,South Stephen Medical Center,4.99
RHEUM_04,Dr. Isaiah Morales,Rheumatologist,32,Floresport Medical Center,4.64
RHEUM_05,Dr. Brittany Roman,Rheumatologist,30,Kristopherburgh Medical Center,3.65
RHEUM_06,Dr. Daniel Meyers,Rheumatologist,7,South Rebeccamouth Medical Center,4.73
RHEUM_07,Dr. Olivia Williams,Rheumatologist,20,New Sean Medical Center,4.04
RHEUM_08,Dr. John Smith,Rheumatologist,28,North Erin Medical Center,4.31
RHEUM_09,Dr. Zachary Garcia,Rheumatologist,21,Port Debra Medical Center,3.87
RHEUM_10,Dr. Michael Graham,Rheumatologist,34,West Erinport Medical Center,4.74
SPORT_01,Dr. Emily Martinez,Sports Medicine Physician,6,Lake John Medical Center,4.17
SPORT_02,Dr. Steven Hall,Sports Medicine Physician,36,North Monica Medical Center,4.59
SPORT_03,Dr. Ricardo Riggs,Sports Medicine Physician,21,Campbellstad Medical Center,4.92
SPORT_04,Dr. Arthur Rodgers,Sports Medicine Physician,40,Robertsberg Medical Center,4.96
SPORT_05,Dr. Russell Robles,Sports Medicine Physician,16,Patrickside Medical Center,4.83
SPORT_06,Dr. Oscar Rice,Sports Medicine Physician,26,Edwardsport Medical Center,3.63
SPORT_07,Dr. Melissa Parks,Sports Medicine Physician,23,North Jesusview Medical Center,3.63
SPORT_08,Dr. Elizabeth Jackson,Sports Medicine Physician,28,Frankland Medical Center,3.58
SPORT_09,Dr. Stacie Gonzales,Sports Medicine Physician,31,Rodriguezville Medical Center,3.9
SPORT_10,Dr. Katie Ford,Sports Medicine Physician,25,Caseburgh Medical Center,4.16
SURGE_01,Dr. Russell Clark,Surgeon,23,Tinaland Medical Center,4.53
SURGE_02,Dr. Pamela Boyd,Surgeon,6,North Ricky Medical Center,3.91
SURGE_03,Dr. Brianna Brennan,Surgeon,23,Port Ryan Medical Center,3.59
SURGE_04,Dr. Jennifer Mora,Surgeon,13,Janeshire Medical Center,4.46
SURGE_05,Dr. Rita Yu,Surgeon,25,Lake Michael Medical Center,4.75
SURGE_06,Dr. Julie Yates,Surgeon,29,Harrisonville Medical Center,4.64
SURGE_07,Dr. Justin Reed,Surgeon,14,East Scottburgh Medical Center,4.31
SURGE_08,Dr. Ashley Hamilton,Surgeon,16,East Rachelfurt Medical Center,4.07
SURGE_09,Dr. Sara Martin,Surgeon,38,North Tyler Medical Center,4.42
SURGE_10,Dr. David Ramirez,Surgeon,22,Brianview Medical Center,4.83
UROLO_01,Dr. Leah Morgan,Urologist,19,East Judy Medical Center,3.69
UROLO_02,Dr. Frederick Garcia,Urologist,20,East Thomasview Medical Center,4.06
UROLO_03,Dr. Samuel Miller,Urologist,21,Virginiaport Medical Center,4.68
UROLO_04,Dr. David Hardy,Urologist,31,Bowenmouth Medical Center,3.96
UROLO_05,Dr. Courtney Jackson,Urologist,21,Edwardbury Medical Center,4.18
UROLO_06,Dr. Brett Silva,Urologist,8,Amymouth Medical Center,3.92
UROLO_07,Dr. Gary Mccullough,Urologist,19,North Christina Medical Center,3.51
UROLO_08,Dr. Brenda Ross,Urologist,40,Lake Luisville Medical Center,4.82
UROLO_09,Dr. Catherine Collins,Urologist,25,Keyberg Medical Center,4.28
UROLO_10,Dr. Jeffrey James,Urologist,16,New John Medical Center,4.13
CRITI_01,Dr. Christian Monroe,Critical Care/Intensive Care Specialist,22,Joannville Medical Center,4.2
CRITI_02,Dr. Erica Castillo,Critical Care/Intensive Care Specialist,24,North Brandonhaven Medical Center,4.39
CRITI_03,Dr. Daniel Mcfarland,Critical Care/Intensive Care Specialist,20,New Sue Medical Center,4.19
CRITI_04,Dr. John Camacho,Critical Care/Intensive Care Specialist,31,Deborahfurt Medical Center,3.55
CRITI_05,Dr. Jason Aguilar,Critical Care/Intensive Care Specialist,23,Lake Jonathan Medical Center,3.99
CRITI_06,Dr. Wesley Hernandez,Critical Care/Intensive Care Specialist,24,Port Angelachester Medical Center,4.92
CRITI_07,Dr. Laura Robbins,Critical Care/Intensive Care Specialist,16,Port Christopher Medical Center,4.18
CRITI_08,Dr. Kimberly Arroyo,Critical Care/Intensive Care Specialist,7,Richardsmouth Medical Center,4.65
CRITI_09,Dr. Kathryn Chapman,Critical Care/Intensive Care Specialist,34,Tranmouth Medical Center,4.92
CRITI_10,Dr. Jennifer Murphy,Critical Care/Intensive Care Specialist,27,Foxton Medical Center,4.78
NEONA_01,Dr. Kelsey Walters,Neonatologist,34,Lindaborough Medical Center,3.54
NEONA_02,Dr. Mary Kim,Neonatologist,34,Mcclainland Medical Center,4.79
NEONA_03,Dr. Matthew Johnson,Neonatologist,7,East Melissaberg Medical Center,3.75
NEONA_04,Dr. Susan Bartlett,Neonatologist,35,Andersenland Medical Center,4.69
NEONA_05,Dr. Jessica Martin,Neonatologist,16,Rogersborough Medical Center,3.6
NEONA_06,Dr. David Foster,Neonatologist,24,Sullivanmouth Medical Center,4.72
NEONA_07,Dr. Daniel Hobbs,Neonatologist,18,Sonyamouth Medical Center,4.31
NEONA_08,Dr. Andre Nguyen,Neonatologist,21,Moralesbury Medical Center,3.52
NEONA_09,Dr. Thomas Jones,Neonatologist,26,Wellsview Medical Center,4.53
NEONA_10,Dr. Bradley Sanchez,Neonatologist,26,East Nathan Medical Center,4.72
INTER_01,Dr. Matthew Brown,Interventional Radiologist,37,Leemouth Medical Center,4.92
INTER_02,Dr. Crystal Price,Interventional Radiologist,19,New Jamesmouth Medical Center,4.96
INTER_03,Dr. Amy Green,Interventional Radiologist,13,Lake Jameschester Medical Center,4.86
INTER_04,Dr. Christopher Mclaughlin,Interventional Radiologist,23,Lake Aaron Medical Center,4.89
INTER_05,Dr. Kimberly Grimes,Interventional Radiologist,13,North Ashley Medical Center,4.3
INTER_06,Dr. Brian Rodriguez,Interventional Radiologist,12,New Tara Medical Center,4.86
INTER_07,Dr. Emily Patterson,Interventional Radiologist,13,Johnborough Medical Center,4.34
INTER_08,Dr. Gina Ball,Interventional Radiologist,19,New Anna Medical Center,4.33
INTER_09,Dr. Clayton Hansen,Interventional Radiologist,10,East Derekborough Medical Center,4.97
INTER_10,Dr. Anthony Hill,Interventional Radiologist,20,West Michaelview Medical Center,3.99
